Ed Sheeran,I Don't Care - Acoustic,acoustic,0.706,0.349,6,-8.125,1,0.0302,0.791,0,0.108,0.624,94.058,audio_features,1m84zLz4WizjR4mCDoXReg,spotify:track:1m84zLz4WizjR4mCDoXReg,https://api.spotify.com/v1/tracks/1m84zLz4WizjR4mCDoXReg,https://api.spotify.com/v1/audio-analysis/1m84zLz4WizjR4mCDoXReg,238220,4,
Dan + Shay,Speechless - Acoustic,acoustic,0.574,0.482,1,-6.875,1,0.0472,0.379,0,0.174,0.428,67.037,audio_features,6BgBACyRg1zhXo8KWUYzG9,spotify:track:6BgBACyRg1zhXo8KWUYzG9,https://api.spotify.com/v1/tracks/6BgBACyRg1zhXo8KWUYzG9,https://api.spotify.com/v1/audio-analysis/6BgBACyRg1zhXo8KWUYzG9,208960,4,
Eric Clapton,Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster,acoustic,0.695,0.336,9,-12.999,1,0.0313,0.8,0.00264,0.701,0.422,79.109,audio_features,612VcBshQcy4mpB2utGc3H,spotify:track:612VcBshQcy4mpB2utGc3H,https://api.spotify.com/v1/tracks/612VcBshQcy4mpB2utGc3H,https://api.spotify.com/v1/audio-analysis/612VcBshQcy4mpB2utGc3H,280000,4,
Tenth Avenue North,Control (Acoustic),acoustic,0.666,0.408,11,-7.756,1,0.0285,0.743,0,0.11,0.324,119.955,audio_features,0VmBlp1AM3B8IxQnuBLQJ6,spotify:track:0VmBlp1AM3B8IxQnuBLQJ6,https://api.spotify.com/v1/tracks/0VmBlp1AM3B8IxQnuBLQJ6,https://api.spotify.com/v1/audio-analysis/0VmBlp1AM3B8IxQnuBLQJ6,228999,4,
mxmtoon,fever dream - acoustic,acoustic,0.528,0.339,4,-7.272,1,0.0294,0.922,3.84e-06,0.0983,0.16,97.985,audio_features,2EaACbwPCMLYfxWT0602r9,spotify:track:2EaACbwPCMLYfxWT0602r9,https://api.spotify.com/v1/tracks/2EaACbwPCMLYfxWT0602r9,https://api.spotify.com/v1/audio-analysis/2EaACbwPCMLYfxWT0602r9,211200,4,
Eric Clapton,Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster,acoustic,0.558,0.524,2,-11.626,0,0.0459,0.321,0.000952,0.94,0.636,93.654,audio_features,3BEZCNZSmVv30vsMNSOCri,spotify:track:3BEZCNZSmVv30vsMNSOCri,https://api.spotify.com/v1/tracks/3BEZCNZSmVv30vsMNSOCri,https://api.spotify.com/v1/audio-analysis/3BEZCNZSmVv30vsMNSOCri,289027,4,
Dermot Kennedy,Outnumbered - Acoustic,acoustic,0.522,0.394,9,-7.921,0,0.0559,0.88,0,0.135,0.529,75.417,audio_features,7FCdJdGEOBCHqZAYRoZAWV,spotify:track:7FCdJdGEOBCHqZAYRoZAWV,https://api.spotify.com/v1/tracks/7FCdJdGEOBCHqZAYRoZAWV,https://api.spotify.com/v1/audio-analysis/7FCdJdGEOBCHqZAYRoZAWV,234884,4,
Ali Gatie,It's You - Acoustic,acoustic,0.818,0.215,11,-10.269,0,0.0441,0.902,0,0.116,0.578,95.85,audio_features,3FSJBFKoBD4xHuj9F1UUPM,spotify:track:3FSJBFKoBD4xHuj9F1UUPM,https://api.spotify.com/v1/tracks/3FSJBFKoBD4xHuj9F1UUPM,https://api.spotify.com/v1/audio-analysis/3FSJBFKoBD4xHuj9F1UUPM,220126,4,
Katy Perry,The One That Got Away - Acoustic,acoustic,0.714,0.434,4,-11.542,1,0.0396,0.697,0,0.0919,0.352,123.942,audio_features,5jx8tCxiO0uIbo2uNia23K,spotify:track:5jx8tCxiO0uIbo2uNia23K,https://api.spotify.com/v1/tracks/5jx8tCxiO0uIbo2uNia23K,https://api.spotify.com/v1/audio-analysis/5jx8tCxiO0uIbo2uNia23K,259040,4,
Justin Bieber,Intentions - Acoustic,acoustic,0.711,0.411,9,-6.657,1,0.035,0.594,0,0.0903,0.791,73.997,audio_features,6VkmdRz8YgHFQV3ZNTJAWU,spotify:track:6VkmdRz8YgHFQV3ZNTJAWU,https://api.spotify.com/v1/tracks/6VkmdRz8YgHFQV3ZNTJAWU,https://api.spotify.com/v1/audio-analysis/6VkmdRz8YgHFQV3ZNTJAWU,160612,4,
James Arthur,Safe Inside - Acoustic,acoustic,0.392,0.303,8,-9.01,1,0.0306,0.855,4.05e-05,0.112,0.3,109.758,audio_features,0kIpJQHzu46yw6q3V78Ypt,spotify:track:0kIpJQHzu46yw6q3V78Ypt,https://api.spotify.com/v1/tracks/0kIpJQHzu46yw6q3V78Ypt,https://api.spotify.com/v1/audio-analysis/0kIpJQHzu46yw6q3V78Ypt,232592,4,
Alicia Keys,No One - Acoustic,acoustic,0.379,0.325,4,-5.862,1,0.0331,0.712,0,0.0997,0.433,89.798,audio_features,73E08jF1urQQSO0oTzCPpP,spotify:track:73E08jF1urQQSO0oTzCPpP,https://api.spotify.com/v1/tracks/73E08jF1urQQSO0oTzCPpP,https://api.spotify.com/v1/audio-analysis/73E08jF1urQQSO0oTzCPpP,259570,4,
Queen Naija,Butterflies Pt. 2 - Acoustic,acoustic,0.57,0.427,3,-5.422,1,0.0636,0.852,0,0.0925,0.526,139.342,audio_features,0P8cENEqN7W3U6rZohIaCJ,spotify:track:0P8cENEqN7W3U6rZohIaCJ,https://api.spotify.com/v1/tracks/0P8cENEqN7W3U6rZohIaCJ,https://api.spotify.com/v1/audio-analysis/0P8cENEqN7W3U6rZohIaCJ,152183,4,
SYML,Girl - Acoustic,acoustic,0.413,0.272,1,-11.568,1,0.0317,0.945,0.0271,0.112,0.354,109.687,audio_features,67QWinkLRgRO4s5n3UEpu8,spotify:track:67QWinkLRgRO4s5n3UEpu8,https://api.spotify.com/v1/tracks/67QWinkLRgRO4s5n3UEpu8,https://api.spotify.com/v1/audio-analysis/67QWinkLRgRO4s5n3UEpu8,211882,4,
DJ Flex,Put Your Back In It (Afrobeat),afrobeat,0.929,0.889,1,-2.647,1,0.204,0.221,0.281,0.0934,0.868,140.04,audio_features,3CwJI2rcnyZL0DVaUZ2D99,spotify:track:3CwJI2rcnyZL0DVaUZ2D99,https://api.spotify.com/v1/tracks/3CwJI2rcnyZL0DVaUZ2D99,https://api.spotify.com/v1/audio-analysis/3CwJI2rcnyZL0DVaUZ2D99,84000,4,
Kelvyn Boy,Afrobeats,afrobeat,0.666,0.87,11,-4.153,0,0.121,0.0409,1.94e-06,0.0764,0.799,199.921,audio_features,2Le0ylZUHeguvn7ogT5tlQ,spotify:track:2Le0ylZUHeguvn7ogT5tlQ,https://api.spotify.com/v1/tracks/2Le0ylZUHeguvn7ogT5tlQ,https://api.spotify.com/v1/audio-analysis/2Le0ylZUHeguvn7ogT5tlQ,214256,4,
Aesthetic Music,Afrobeat Aesthetics,afrobeat,0.652,0.473,11,-10.751,0,0.0921,0.612,0.904,0.0976,0.496,74.978,audio_features,6wvqANUOaKnsmPNKjGKvD5,spotify:track:6wvqANUOaKnsmPNKjGKvD5,https://api.spotify.com/v1/tracks/6wvqANUOaKnsmPNKjGKvD5,https://api.spotify.com/v1/audio-analysis/6wvqANUOaKnsmPNKjGKvD5,70400,4,
DJ Flex,She Don't Text Afrobeat,afrobeat,0.752,0.812,11,-3.648,0,0.195,0.29,0.00131,0.0573,0.541,144.014,audio_features,79WkDHrA86LckfmnjC0LIx,spotify:track:79WkDHrA86LckfmnjC0LIx,https://api.spotify.com/v1/tracks/79WkDHrA86LckfmnjC0LIx,https://api.spotify.com/v1/audio-analysis/79WkDHrA86LckfmnjC0LIx,106728,4,
